"departure","arrival","departure_y","departure_x","arrival_y","arrival_x","departure_in_DHZW","arrival_in_DHZW","time_total","time_walk","time_transit","time_waiting","n_changes","distance_total","distance_walk","distance_transit","stop_PC6","stop_PC5","feasible"
"2544H","2566",52.0457978448674,4.26058713725417,52.0807850576839,4.25230755076599,1,0,47,29.5,17.5,0,0,8.1,2.2,5.9,"2543AA","2543A",1
"2546A","3171",52.0577480548941,4.27572687830032,51.8549780764941,4.39920958999336,1,0,107.7,25,71.7,10.9,3,45,1.6,43.4,"2533SW","2533S",1
"3171","2546A",51.8549780764941,4.39920958999336,52.0577480548941,4.27572687830032,0,1,106.2,28.5,68.8,8.9,2,45.8,1.8,44,"-1","-1",1
"2624","2545H",51.9951639454664,4.35577193846277,52.0436878110164,4.28273156391466,0,1,34,11.8,22.3,0,0,11.2,0.9,10.3,"2545HD","2545H",1
"2624","2543A",51.9951639454664,4.35577193846277,52.0434639733693,4.26411809103701,0,1,53.9,16.5,34.3,3.1,1,14.5,1.2,13.3,"2541XV","2541X",1
"3072","2533V",51.902110213157,4.48910082781826,52.0502735545728,4.28958147252202,0,1,86,26.7,55.9,3.4,1,35.7,1.6,34.1,"2533SR","2533S",1
"2546X","2548",52.0607363175907,4.27761287481445,52.0294425012506,4.29039874619047,1,0,28.1,9.4,12.5,6.2,1,4.7,0.7,4,"2541AE","2541A",1
"2542E","2518",52.0358716120214,4.26738012702625,52.0811391704393,4.29422163398023,1,0,42.9,11.3,26.1,5.5,2,8.6,0.8,7.8,"2543AA","2543A",1
"2522","2542E",52.0603806984478,4.32727437307002,52.0358716120214,4.26738012702625,0,1,29.6,14.9,14.8,0,0,6.1,1.1,5,"2545DM","2545D",1
"3072","2544G",51.902110213157,4.48910082781826,52.0425265562463,4.25954339365026,0,1,89.4,15.9,62.6,11,2,36.4,0.9,35.5,"2543BG","2543B",1
"2544G","3072",52.0425265562463,4.25954339365026,51.902110213157,4.48910082781826,1,0,89.9,17.5,65.7,6.7,2,36.3,1,35.3,"2543BG","2543B",1
"2245","2533C",52.1212697387586,4.39936927067405,52.0487353984816,4.29328303683979,0,1,-1,-1,-1,-1,-1,-1,-1,-1,"-1","-1",-1
"2624","2542J",51.9951639454664,4.35577193846277,52.0385335010829,4.25810585554739,0,1,57.1,17.8,36.2,3.1,1,15.3,1.3,14,"2541XV","2541X",1
"2546S","2522",52.0578707378872,4.27105525072026,52.0603806984478,4.32727437307002,1,0,34,12.6,18.9,2.5,1,6.6,0.9,5.7,"2533AD","2533A",1
"2522","2546S",52.0603806984478,4.32727437307002,52.0578707378872,4.27105525072026,0,1,28.5,9.8,15.3,3.4,1,5.4,0.7,4.7,"2532CP","2532C",1
"2546R","2548",52.0570615813484,4.26887575509814,52.0294425012506,4.29039874619047,1,0,24.4,11.4,13,0,0,4.8,0.8,4,"2545CZ","2545C",1
"2548","2546R",52.0294425012506,4.29039874619047,52.0570615813484,4.26887575509814,0,1,33.9,27.4,6.4,0,0,4.9,2,2.9,"2545NW","2545N",1
"2513","2544H",52.078800201194,4.30238606088434,52.0457978448674,4.26058713725417,0,1,29.5,13,16.4,0,0,6.2,1,5.2,"2544GA","2544G",1
"2564","2533A",52.0681123354441,4.25800296323022,52.0536330532777,4.27865212084885,0,1,22.3,9.1,13.2,0,0,5.2,0.7,4.5,"2545JT","2545J",1
