"departure","arrival","departure_y","departure_x","arrival_y","arrival_x","departure_in_DHZW","arrival_in_DHZW","time_total","time_walk","time_transit","time_waiting","n_changes","distance_total","distance_walk","distance_transit","stop_PC6"
"2544T","2651",52.043708831961,4.25562360610011,52.00237,4.470929,1,0,90.1,24.7,52,13.4,2,27.2,1.4,25.8,"2544WB"
"2651","2544T",52.00237,4.470929,52.043708831961,4.25562360610011,0,1,88.2,27.8,51.1,9.3,2,28.3,1.7,26.6,"2544CX"
"2544J","2914",52.0450156297235,4.25830282422894,51.97679,4.621772,1,0,115,27.3,77.1,10.6,1,41.8,1.9,39.9,"2544WB"
"2914","2544J",51.97679,4.621772,52.0450156297235,4.25830282422894,0,1,119.8,42.3,59,18.5,3,38.3,3.2,35.1,"2543BG"
"2353","2543A",52.16652,4.53855,52.0434639733693,4.26411809103701,0,1,96.6,15.8,67.1,13.8,3,28.7,1.1,27.6,"2544GA"
"2543A","2353",52.0434639733693,4.26411809103701,52.16652,4.53855,1,0,110,22.6,73.8,13.6,3,37.3,1.6,35.7,"2543AA"
"2512","2543B",52.07346,4.304762,52.0408197781465,4.2614617830182,0,1,22.8,6.4,16.4,0,0,5.7,0.5,5.2,"2543BG"
"2512","2544T",52.07346,4.304762,52.043708831961,4.25562360610011,0,1,23.4,7,16.4,0,0,5.7,0.5,5.2,"2543BG"
"2544G","2564",52.0425265562463,4.25954339365026,52.06811,4.258003,1,0,23.9,7.4,16.5,0,0,6,0.5,5.5,"2543AA"
"2564","2544G",52.06811,4.258003,52.0425265562463,4.25954339365026,0,1,23.1,7.5,15.6,0,0,6,0.5,5.5,"2544GA"
"2544V","2584",52.0454790140349,4.25995965447312,52.10258,4.279296,1,0,44,14.1,27.5,2.4,1,10.1,1,9.1,"2543AA"
"2584","2544V",52.10258,4.279296,52.0454790140349,4.25995965447312,0,1,42.6,11.1,31.5,0,0,11,0.8,10.2,"2544GA"
"2544T","2665",52.043708831961,4.25562360610011,52.02257,4.534548,1,0,77.4,15,58.2,4.1,1,30.8,1.1,29.7,"2544WB"
"2665","2544T",52.02257,4.534548,52.043708831961,4.25562360610011,0,1,89.6,18.9,61.3,9.4,1,33.2,1.4,31.8,"2544CX"
